81	162
0	77	15
0	70	33
1	55	-1
1	3	19
2	77	33
2	33	2
3	15	6
3	36	26
4	69	22
4	44	46
5	9	47
5	32	17
6	35	46
6	21	39
7	61	35
7	40	36
8	38	46
8	14	0
9	39	40
9	65	24
10	70	17
10	57	-4
11	11	30
11	65	9
12	19	25
12	31	33
13	1	8
13	60	23
14	12	29
14	71	34
15	31	30
15	5	28
16	66	13
16	79	14
17	5	34
17	64	37
18	54	45
18	35	1
19	15	38
19	16	0
20	51	15
20	18	23
21	55	-5
21	43	7
22	38	25
22	32	40
23	20	18
23	17	36
24	62	44
24	32	41
25	74	5
25	77	47
26	24	26
26	29	26
27	11	41
27	15	43
28	54	1
28	74	12
29	37	15
29	41	-1
30	9	32
30	66	13
31	56	39
31	78	3
32	79	12
32	22	35
33	76	11
33	68	17
34	42	39
34	26	36
35	33	49
35	0	19
36	37	9
36	48	-6
37	62	37
37	34	45
38	2	-5
38	40	19
39	1	-5
39	22	-4
40	71	-3
40	49	23
41	9	33
41	45	35
42	40	1
42	72	13
43	20	7
43	53	-4
44	8	-5
44	50	5
45	39	25
45	76	13
46	29	43
46	48	21
47	12	28
47	46	26
48	67	8
48	42	21
49	49	43
49	54	44
50	28	35
50	75	29
51	6	36
51	7	26
52	31	25
52	56	-3
53	25	-5
53	76	3
54	66	11
54	24	-10
55	43	26
55	19	38
56	19	1
56	9	3
57	32	9
57	71	41
58	54	15
58	43	13
59	34	29
59	33	14
60	6	49
60	12	-4
61	34	39
61	51	27
62	31	10
62	66	-6
63	6	31
63	25	41
64	67	43
64	5	40
65	35	28
65	61	-10
66	41	-1
66	52	3
67	12	29
67	62	1
68	16	4
68	8	12
69	18	20
69	7	36
70	37	6
70	40	37
71	39	36
71	58	29
72	0	35
72	18	15
73	80	20
73	30	26
74	69	31
74	79	-4
75	32	40
75	24	43
76	57	34
76	6	36
77	42	-6
77	24	46
78	66	-10
78	77	3
79	21	-9
79	28	20
80	33	-2
80	74	4
