729 2916
0 548 35
0 365 38
0 121 6
0 720 -4
1 469 1
1 489 14
1 37 9
1 373 -9
2 256 7
2 256 29
2 16 0
2 357 -1
3 189 28
3 46 20
3 303 8
3 199 5
4 727 13
4 274 20
4 219 28
4 339 15
5 579 -7
5 176 7
5 252 36
5 713 -10
6 144 35
6 360 -6
6 37 -9
6 339 25
7 147 32
7 37 25
7 358 39
7 236 31
8 582 -1
8 239 37
8 417 0
8 573 6
9 623 34
9 199 27
9 640 30
9 545 18
10 299 24
10 339 6
10 569 -9
10 268 11
11 209 2
11 612 -10
11 619 -6
11 662 8
12 68 32
12 448 9
12 368 -9
12 421 36
13 124 -4
13 124 -3
13 697 27
13 166 2
14 363 29
14 209 22
14 373 11
14 672 -6
15 586 9
15 330 33
15 46 27
15 416 32
16 25 8
16 174 7
16 720 7
16 485 20
17 650 27
17 511 27
17 79 -10
17 596 5
18 531 0
18 132 40
18 176 -9
18 225 25
19 402 25
19 106 12
19 501 1
19 254 9
20 250 12
20 251 34
20 526 36
20 645 11
21 250 34
21 364 -7
21 457 8
21 485 15
22 420 10
22 6 13
22 545 20
22 666 -8
23 49 16
23 199 38
23 318 21
23 225 25
24 420 11
24 336 34
24 469 -1
24 77 16
25 710 29
25 591 -3
25 498 -8
25 634 -8
26 448 38
26 256 16
26 225 28
26 77 -3
27 32 5
27 333 -9
27 336 38
27 13 25
28 407 -9
28 339 33
28 421 12
28 557 13
29 615 10
29 14 13
29 531 29
29 299 0
30 386 -8
30 537 18
30 73 32
30 699 9
31 294 25
31 133 -5
31 358 13
31 330 16
32 695 28
32 634 5
32 22 4
32 330 -10
33 236 18
33 147 23
33 545 34
33 98 6
34 402 29
34 407 24
34 299 5
34 333 38
35 403 19
35 268 25
35 357 15
35 255 15
36 16 36
36 640 18
36 66 5
36 152 27
37 700 1
37 659 39
37 256 35
37 580 31
38 619 -5
38 353 31
38 296 10
38 198 -2
39 578 19
39 133 22
39 225 7
39 557 32
40 485 29
40 373 24
40 577 11
40 481 23
41 133 2
41 44 -1
41 672 13
41 581 21
42 405 22
42 121 34
42 419 -2
42 284 31
43 407 31
43 189 11
43 286 36
43 594 21
44 35 8
44 92 18
44 578 26
44 283 -7
45 370 29
45 54 10
45 420 39
45 203 30
46 471 35
46 623 37
46 555 8
46 18 -2
47 370 25
47 166 17
47 106 -6
47 79 -2
48 556 37
48 115 28
48 637 15
48 439 13
49 455 -1
49 216 19
49 618 6
49 169 1
50 14 -6
50 686 38
50 545 15
50 161 -10
51 170 36
51 594 30
51 229 30
51 244 9
52 247 -7
52 723 10
52 55 16
52 127 16
53 667 19
53 136 -8
53 358 10
53 420 29
54 557 0
54 333 10
54 427 16
54 545 -9
55 14 22
55 50 15
55 144 31
55 394 8
56 269 -6
56 513 0
56 662 40
56 360 -9
57 287 24
57 256 6
57 71 10
57 355 19
58 49 34
58 294 16
58 707 2
58 616 2
59 581 5
59 277 30
59 502 23
59 707 40
60 256 15
60 236 11
60 446 31
60 637 39
61 561 28
61 402 -7
61 402 23
61 419 4
62 255 1
62 528 13
62 46 38
62 187 16
63 191 23
63 466 18
63 551 21
63 513 31
64 610 21
64 168 21
64 238 -9
64 711 34
65 111 39
65 229 18
65 386 -8
65 407 -8
66 574 -5
66 469 -9
66 236 24
66 484 -5
67 330 33
67 313 14
67 170 28
67 389 0
68 407 -4
68 407 7
68 667 15
68 200 24
69 79 10
69 326 20
69 250 18
69 149 13
70 278 20
70 106 -7
70 571 19
70 255 7
71 37 15
71 358 3
71 632 -9
71 321 6
72 20 2
72 46 32
72 330 21
72 56 9
73 326 28
73 596 31
73 216 2
73 20 35
74 275 -7
74 21 20
74 148 6
74 578 1
75 330 5
75 574 36
75 514 14
75 486 -2
76 557 12
76 613 28
76 131 11
76 268 19
77 662 35
77 492 11
77 148 40
77 455 3
78 327 30
78 407 16
78 245 0
78 243 26
79 21 3
79 526 37
79 244 35
79 616 6
80 294 8
80 37 8
80 619 7
80 213 -9
81 256 32
81 707 35
81 115 -9
81 462 0
82 578 22
82 6 -5
82 68 7
82 586 18
83 296 -8
83 481 6
83 254 32
83 637 8
84 299 3
84 10 38
84 426 22
84 339 -6
85 490 37
85 248 11
85 333 25
85 35 -9
86 637 10
86 697 -4
86 652 -1
86 480 -6
87 395 0
87 344 7
87 35 24
87 35 -6
88 554 26
88 87 21
88 629 -6
88 332 15
89 650 14
89 591 32
89 420 29
89 108 8
90 158 20
90 725 35
90 683 -3
90 511 2
91 422 33
91 339 0
91 268 9
91 557 5
92 236 22
92 291 17
92 18 9
92 640 40
93 111 35
93 83 8
93 35 23
93 634 15
94 363 8
94 171 12
94 359 31
94 122 28
95 238 -8
95 389 39
95 370 -5
95 490 34
96 71 32
96 368 40
96 330 40
96 244 16
97 10 -2
97 466 33
97 557 9
97 596 6
98 170 4
98 199 10
98 240 28
98 640 11
99 435 -6
99 566 33
99 526 -10
99 256 0
100 454 20
100 518 -4
100 6 35
100 545 14
101 650 6
101 417 38
101 569 28
101 12 6
102 251 18
102 402 12
102 354 -6
102 299 19
103 485 24
103 37 19
103 12 -1
103 35 12
104 489 -1
104 458 10
104 385 2
104 642 18
105 198 1
105 287 17
105 407 17
105 240 7
106 333 -3
106 14 22
106 203 10
106 330 9
107 131 2
